claim_id,claim_amount,claim_date,claimant_age,policy_duration,num_claims_per_year,claim_review_time,witness_count,police_report,medical_assessment,is_fraud
CLM_001860,174233.15801590506,2025-08-12 22:52:59.837755,8.331602342535412,1.9654051809995674,3,25.048586579059812,0,0,1,1
CLM_000353,7032.878876479497,2025-07-03 22:52:59.469679,39.777261435560696,3.9362239883313053,2,34.03056959398501,3,1,1,0
CLM_001333,2985.700166501155,2025-05-15 22:52:59.770027,30.227941678014425,2.318552229741952,1,245.19036648849215,0,1,1,0
CLM_000905,21689.20273658881,2025-05-27 22:52:59.596643,74.3722834036907,6.039002750229265,3,77.48107467754889,2,1,1,0
CLM_001289,3703.586378753582,2026-01-05 22:52:59.757744,49.075122744577655,7.302559704519748,0,171.4317148217009,1,1,1,0
CLM_001273,9305.332680692536,2025-07-24 22:52:59.740783,47.57480654953345,5.995677131295113,1,449.9849530929066,2,1,1,0
CLM_000938,7508.675242383958,2025-05-30 22:52:59.600645,70.03139401412892,2.303996485558069,2,59.46465220472019,0,1,1,0
CLM_001731,23633.639898909973,2025-11-05 22:52:59.828733,29.286378240882208,2.196891352381467,3,117.29028437008728,0,1,0,1
CLM_000065,31670.885587100813,2025-11-24 22:52:59.425386,56.54879337794495,0.6136293076555073,1,525.6769887417433,1,1,1,0
CLM_001323,13743.047412329819,2025-10-16 22:52:59.769031,40.535361960052555,2.643504564858561,1,291.181172018227,3,1,1,0
CLM_000056,1368.2389460509976,2025-04-20 22:52:59.425386,67.44066467233775,5.906572180965614,0,20.06216196510431,0,0,1,0
CLM_001292,18964.266622605883,2025-12-06 22:52:59.760026,54.653361405347326,8.004207452562229,3,728.777925179997,0,1,0,0
CLM_001118,3870.513632103194,2025-06-20 22:52:59.673549,47.223044529418466,4.390943626550827,0,18.84719327340837,3,1,1,0
CLM_000584,6897.969861605634,2025-03-16 22:52:59.538137,34.611282339143,6.730719026191592,1,161.74660923445273,0,1,1,0
CLM_000374,6505.027039405533,2025-08-17 22:52:59.473138,32.87081251677319,3.2883358852227023,1,252.29214989272202,2,0,1,0
CLM_000275,28472.267031942345,2026-01-30 22:52:59.459080,37.67589236322683,5.2505536478315,2,33.616159006756774,0,0,1,0
CLM_000746,6972.330011805558,2025-07-05 22:52:59.579153,22.770794803909833,0.8698422752083906,0,183.9423145984424,1,0,1,0
CLM_000128,932.7661611027814,2025-11-22 22:52:59.432808,41.5652570776463,3.5712699701687254,1,23.40322212351451,3,0,0,0
CLM_001646,2561.953472047421,2025-04-26 22:52:59.819841,54.92922258994621,5.294552677175338,2,28.3655532454363,1,1,1,0
CLM_001852,309068.3728046316,2025-10-08 22:52:59.837755,27.787635400736853,0.5900488456767305,2,11.97121305300252,0,0,1,1
CLM_000674,15368.68882438563,2025-10-02 22:52:59.551189,29.76383515351017,3.8282730093572033,1,14.10131081662096,3,1,1,0
CLM_001664,12355.386028308374,2025-11-01 22:52:59.822469,29.767116980618447,7.108387066434934,0,76.58004743611859,4,1,1,0
CLM_001981,799.602992911105,2025-06-08 22:52:59.837755,8.303196333358791,0.5536452955174257,2,20.557714220937605,2,0,1,1
CLM_001083,1099.4261554886173,2025-03-31 22:52:59.654703,73.3216631821878,11.671405278893841,0,279.98080170685074,2,1,1,0
CLM_001922,1445.6500378210583,2025-09-06 22:52:59.837755,42.64416879302927,2.138826201128898,5,55.046947799653815,0,1,0,1
CLM_000099,23695.777791696335,2025-09-06 22:52:59.432808,44.29619131681224,4.722988279160354,0,97.20497478382603,2,0,1,0
CLM_001179,14925.798771778269,2025-04-28 22:52:59.706560,29.710738274851956,1.8135571374267931,1,1028.371600149325,2,1,1,0
CLM_000964,2854.912857367836,2025-10-15 22:52:59.607062,47.903804925985476,0.8263179467844693,1,225.6953663934912,0,0,1,0
CLM_000792,4457.7997161374615,2025-05-27 22:52:59.585198,31.855641663998068,6.072723209211377,2,36.4414243826624,2,0,1,0
CLM_000029,4484.707751992694,2025-02-21 22:52:59.425386,54.49278656074067,0.2434116142853787,1,133.22532794036906,3,0,1,0
